,Country,Year,LPI_Score,LPI_Score_Interpolated
0,Afghanistan,2015,,2.141282
1,Afghanistan,2016,2.141282,2.141282
2,Afghanistan,2017,,2.0449235
3,Afghanistan,2018,1.948565,1.948565
4,Afghanistan,2019,,1.938852
5,Afghanistan,2020,,1.929139
6,Afghanistan,2021,,1.919426
7,Afghanistan,2022,,1.909713
8,Afghanistan,2023,1.9,1.9
9,Afghanistan,2024,,1.9
10,Albania,2015,,2.412498
11,Albania,2016,2.412498,2.412498
12,Albania,2017,,2.5360505
13,Albania,2018,2.659603,2.659603
14,Albania,2019,,2.6276824
15,Albania,2020,,2.5957618
16,Albania,2021,,2.5638412
17,Albania,2022,,2.5319206
18,Albania,2023,2.5,2.5
19,Albania,2024,,2.5
20,Algeria,2015,,2.769683
21,Algeria,2016,2.769683,2.769683
22,Algeria,2017,,2.608877
23,Algeria,2018,2.448071,2.448071
24,Algeria,2019,,2.4584568
25,Algeria,2020,,2.4688426
26,Algeria,2021,,2.4792284
27,Algeria,2022,,2.4896142
28,Algeria,2023,2.5,2.5
29,Algeria,2024,,2.5
30,Angola,2015,,2.241183
31,Angola,2016,2.241183,2.241183
32,Angola,2017,,2.1436705
33,Angola,2018,2.046158,2.046158
34,Angola,2019,,2.0569264
35,Angola,2020,,2.0676948
36,Angola,2021,,2.0784632
37,Angola,2022,,2.0892316
38,Angola,2023,2.1,2.1
39,Angola,2024,,2.1
40,Antigua and Barbuda,2015,,2.9
41,Antigua and Barbuda,2016,,2.9
42,Antigua and Barbuda,2017,,2.9
43,Antigua and Barbuda,2018,,2.9
44,Antigua and Barbuda,2019,,2.9
45,Antigua and Barbuda,2020,,2.9
46,Antigua and Barbuda,2021,,2.9
47,Antigua and Barbuda,2022,,2.9
48,Antigua and Barbuda,2023,2.9,2.9
49,Antigua and Barbuda,2024,,2.9
50,Argentina,2015,,2.962629
51,Argentina,2016,2.962629,2.962629
52,Argentina,2017,,2.9248065
53,Argentina,2018,2.886984,2.886984
54,Argentina,2019,,2.8695872
55,Argentina,2020,,2.8521904
56,Argentina,2021,,2.8347936
57,Argentina,2022,,2.8173968
58,Argentina,2023,2.8,2.8
59,Argentina,2024,,2.8
60,Armenia,2015,,2.205513
61,Armenia,2016,2.205513,2.205513
62,Armenia,2017,,2.40656
63,Armenia,2018,2.607607,2.607607
64,Armenia,2019,,2.5860856
65,Armenia,2020,,2.5645642
66,Armenia,2021,,2.5430428
67,Armenia,2022,,2.5215214
68,Armenia,2023,2.5,2.5
69,Armenia,2024,,2.5
70,Australia,2015,,3.793385
71,Australia,2016,3.793385,3.793385
72,Australia,2017,,3.772408
73,Australia,2018,3.751431,3.751431
74,Australia,2019,,3.7411448
75,Australia,2020,,3.7308586
76,Australia,2021,,3.7205724
77,Australia,2022,,3.7102862
78,Australia,2023,3.7,3.7
79,Australia,2024,,3.7
80,Austria,2015,,4.097985
81,Austria,2016,4.097985,4.097985
82,Austria,2017,,4.061995
83,Austria,2018,4.026005,4.026005
84,Austria,2019,,4.020804
85,Austria,2020,,4.015603
86,Austria,2021,,4.010402
87,Austria,2022,,4.005201
88,Austria,2023,4,4
89,Austria,2024,,4
90,Azerbaijan,2015,,
91,Azerbaijan,2016,,
92,Azerbaijan,2017,,
93,Azerbaijan,2018,,
